"filename", "language", "Handlebars", "Python", "JavaScript", "JSON", "CSS", "Markdown", "HTTP", "comment", "blank", "total"
"f:\Otto\Documents\week7\Balanssi1\views\auth\login.hbs", "Handlebars", 26, 0, 0, 0, 0, 0, 0, 1, 6, 33
"f:\Otto\Documents\week7\Balanssi1\views\auth\loginH.hbs", "Handlebars", 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
"f:\Otto\Documents\week7\Balanssi1\views\auth\register.hbs", "Handlebars", 133, 0, 0, 0, 0, 0, 0, 5, 32, 170
"f:\Otto\Documents\week7\Balanssi1\views\error\401.hbs", "Handlebars", 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"f:\Otto\Documents\week7\Balanssi1\views\error\404.hbs", "Handlebars", 44, 0, 0, 0, 0, 0, 0, 0, 5, 49
"f:\Otto\Documents\week7\Balanssi1\views\error\500.hbs", "Handlebars", 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"f:\Otto\Documents\week7\Balanssi1\views\etusivu.hbs", "Handlebars", 37, 0, 0, 0, 0, 0, 0, 1, 10, 48
"f:\Otto\Documents\week7\Balanssi1\views\etusivuH.hbs", "Handlebars", 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"f:\Otto\Documents\week7\Balanssi1\views\evasteidenkaytto.hbs", "Handlebars", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"f:\Otto\Documents\week7\Balanssi1\views\home.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 13, 0, 13
"f:\Otto\Documents\week7\Balanssi1\views\kayttoehdot.hbs", "Handlebars", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"f:\Otto\Documents\week7\Balanssi1\views\layouts\errorLayout.hbs", "Handlebars", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"f:\Otto\Documents\week7\Balanssi1\views\layouts\home.hbs", "Handlebars", 20, 0, 0, 0, 0, 0, 0, 4, 7, 31
"f:\Otto\Documents\week7\Balanssi1\views\layouts\homeH.hbs", "Handlebars", 21, 0, 0, 0, 0, 0, 0, 5, 6, 32
"f:\Otto\Documents\week7\Balanssi1\views\layouts\main.hbs", "Handlebars", 37, 0, 0, 0, 0, 0, 0, 0, 12, 49
"f:\Otto\Documents\week7\Balanssi1\views\layouts\mainH.hbs", "Handlebars", 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"f:\Otto\Documents\week7\Balanssi1\views\message.hbs", "Handlebars", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Otto\Documents\week7\Balanssi1\views\messageH.hbs", "Handlebars", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"f:\Otto\Documents\week7\Balanssi1\views\mittaustulokset.hbs", "Handlebars", 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"f:\Otto\Documents\week7\Balanssi1\views\partials\_header.hbs", "Handlebars", 69, 0, 0, 0, 0, 0, 0, 6, 11, 86
"f:\Otto\Documents\week7\Balanssi1\views\partials\_headerH.hbs", "Handlebars", 57, 0, 0, 0, 0, 0, 0, 0, 8, 65
"f:\Otto\Documents\week7\Balanssi1\views\partials\_headerH_stories.hbs", "Handlebars", 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"f:\Otto\Documents\week7\Balanssi1\views\partials\_header_login.hbs", "Handlebars", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Otto\Documents\week7\Balanssi1\views\partials\_header_loginH.hbs", "Handlebars", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"f:\Otto\Documents\week7\Balanssi1\views\partials\_header_stories.hbs", "Handlebars", 63, 0, 0, 0, 0, 0, 0, 0, 7, 70
"f:\Otto\Documents\week7\Balanssi1\views\partials\chart.hbs", "Handlebars", 39, 0, 0, 0, 0, 0, 0, 0, 2, 41
"f:\Otto\Documents\week7\Balanssi1\views\partials\faq.hbs", "Handlebars", 31, 0, 0, 0, 0, 0, 0, 13, 5, 49
"f:\Otto\Documents\week7\Balanssi1\views\partials\footer.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Otto\Documents\week7\Balanssi1\views\partials\hrvArvot.hbs", "Handlebars", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\Otto\Documents\week7\Balanssi1\views\partials\loading.hbs", "Handlebars", 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"f:\Otto\Documents\week7\Balanssi1\views\partials\profiili.hbs", "Handlebars", 53, 0, 0, 0, 0, 0, 0, 29, 15, 97
"f:\Otto\Documents\week7\Balanssi1\views\partials\verensokeriAdd.hbs", "Handlebars", 62, 0, 0, 0, 0, 0, 0, 2, 11, 75
"f:\Otto\Documents\week7\Balanssi1\views\partials\verensokeriarvot.hbs", "Handlebars", 108, 0, 0, 0, 0, 0, 0, 1, 9, 118
"f:\Otto\Documents\week7\Balanssi1\views\partials\viestit.hbs", "Handlebars", 62, 0, 0, 0, 0, 0, 0, 0, 3, 65
"f:\Otto\Documents\week7\Balanssi1\views\partials\viestitH.hbs", "Handlebars", 62, 0, 0, 0, 0, 0, 0, 0, 2, 64
"f:\Otto\Documents\week7\Balanssi1\views\potilas.hbs", "Handlebars", 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"f:\Otto\Documents\week7\Balanssi1\views\potilaslista.hbs", "Handlebars", 60, 0, 0, 0, 0, 0, 0, 0, 6, 66
"f:\Otto\Documents\week7\Balanssi1\views\profile.hbs", "Handlebars", 2, 0, 0, 0, 0, 0, 0, 0, 3, 5
"f:\Otto\Documents\week7\Balanssi1\views\stories\add.hbs", "Handlebars", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"f:\Otto\Documents\week7\Balanssi1\views\stories\edit.hbs", "Handlebars", 65, 0, 0, 0, 0, 0, 0, 0, 7, 72
"f:\Otto\Documents\week7\Balanssi1\views\stories\index.hbs", "Handlebars", 1, 0, 0, 0, 0, 0, 0, 34, 11, 46
"f:\Otto\Documents\week7\Balanssi1\views\stories\show.hbs", "Handlebars", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"f:\Otto\Documents\week7\Balanssi1\views\tietosuojakaytanto.hbs", "Handlebars", 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"Total", "-", 1459, 16, 1459, 69, 1309, 63, 53, 712, 900, 6040
